DES,T/K,V/cP,MCI,Avg Molar, omega
DES6,311.65,0.16,0.137170388,115.87,1.607
DES3,313.95,0.0219,0.019467305,81.46,2.1223
DES14,295.45,0.096,0.095191019,148.07,5.7999
DES5,309.35,0.0149,0.014780752,74.48,2.9253
DES40,315.55,0.134,0.147498597,207.24,5.7679
DES28,302.45,0.372,0.360092678,201.94,6.8446
DES15,299.35,0.081,0.080823413,148.49,7.0204
DES13,311.65,0.044,0.044089344,147.54,4.5794
DES20,320.15,0.0417,0.044187967,109.3,5.1905
DES30,293.85,0.5,0.48921268,183.3,9.2857
DES9,313.25,0.093,0.092069723,101.61,3.6749
DES23,297.05,1.3825,1.261257485,158.39,5.2508
DES41,295.45,0.299,0.295343516,236.27,3.542
DES41,309.35,0.145,0.140818034,236.27,3.542
DES17,317.05,0.0492,0.05733202,159.48,3.986
DES42,307.05,0.105,0.105602872,207.0,4.7626
DES9,306.25,0.135,0.133965454,101.61,3.6749
DES40,307.85,0.218,0.228681747,207.24,5.7679
DES28,307.05,0.287,0.272558791,201.94,6.8446
DES35,321.65,0.0281,0.028450292,103.72,4.329
DES22,300.85,1.4073,1.302054611,179.6,4.5615
DES34,312.45,0.0468,0.045548974,114.13,3.9275
DES40,308.65,0.206,0.217834672,207.24,5.7679
DES27,299.35,0.511,0.496155741,218.5,5.6241
DES44,307.05,0.076,0.076811736,184.61,7.2036
DES17,293.05,0.1922,0.193097075,159.48,3.986
DES28,297.05,0.529,0.517197592,201.94,6.8446
DES11,310.15,0.043,0.043948822,144.91,2.1383
DES32,312.45,0.0665,0.063403725,147.97,3.1245
DES7,323.25,0.072,0.074382066,107.78,2.2963
DES38,307.05,0.378,0.368944979,149.67,4.3893
DES13,301.65,0.068,0.06865869,147.54,4.5794
DES9,320.95,0.065,0.064008161,101.61,3.6749
DES35,295.45,0.0955,0.09405594,103.72,4.329
DES10,301.65,0.152,0.150378755,99.7,4.3641
DES29,307.05,0.253,0.240527487,191.58,8.0651
DES15,319.35,0.035,0.034180594,148.49,7.0204
DES17,316.25,0.0514,0.059262633,159.48,3.986
DES9,310.95,0.105,0.103609001,101.61,3.6749
DES35,312.45,0.0412,0.040938075,103.72,4.329
DES6,300.85,0.287,0.263425191,115.87,1.607
DES33,299.35,0.1002,0.0974807,127.15,3.526
DES8,309.35,0.125,0.12749015,103.98,2.9856
DES17,304.75,0.0921,0.100259026,159.48,3.986
DES3,296.25,0.0399,0.041049529,81.46,2.1223
DES13,314.75,0.039,0.038953861,147.54,4.5794
DES8,307.85,0.137,0.138652008,103.98,2.9856
DES15,311.65,0.047,0.046137925,148.49,7.0204
DES28,309.35,0.253,0.239261938,201.94,6.8446
DES10,318.65,0.065,0.06217032,99.7,4.3641
DES11,322.45,0.027,0.027588026,144.91,2.1383
DES25,294.65,1.216,1.165480995,134.52,6.6294
DES22,317.85,0.3182,0.382367421,179.6,4.5615
DES15,300.15,0.078,0.077648873,148.49,7.0204
DES30,321.65,0.112,0.101711604,183.3,9.2857
DES4,320.15,0.0139,0.011883306,77.58,2.5238
DES22,305.55,0.9073,0.884444995,179.6,4.5615
DES24,320.95,0.1709,0.18486386,145.13,5.9401
DES25,313.95,0.3534,0.272394803,134.52,6.6294
DES6,304.75,0.23,0.204789291,115.87,1.607
DES10,310.15,0.096,0.093548471,99.7,4.3641
DES38,321.65,0.149,0.15867527,149.67,4.3893
DES12,303.25,0.06,0.060984339,146.7,3.3588
DES36,301.65,0.797,0.743709869,128.94,3.0108
DES3,322.45,0.0169,0.014501094,81.46,2.1223
DES34,311.65,0.0487,0.047144948,114.13,3.9275
DES42,319.35,0.059,0.062573567,207.0,4.7626
DES32,303.95,0.0993,0.09468404,147.97,3.1245
DES44,303.25,0.091,0.091688599,184.61,7.2036
DES18,304.75,0.0789,0.086280172,135.86,4.3875
DES17,312.45,0.0613,0.069756857,159.48,3.986
DES6,322.45,0.1,0.080272335,115.87,1.607
DES2,304.75,0.0299,0.030174876,87.66,1.7208
DES23,313.25,0.3504,0.369931674,158.39,5.2508
DES34,302.45,0.0749,0.072472782,114.13,3.9275
DES8,319.35,0.075,0.076870829,103.98,2.9856
DES40,299.35,0.406,0.40381261,207.24,5.7679
DES30,317.05,0.136,0.125351269,183.3,9.2857
DES22,293.05,2.7767,2.773862891,179.6,4.5615
DES27,303.25,0.399,0.385091628,218.5,5.6241
DES39,294.65,0.796,0.758332312,168.09,5.0786
DES19,317.85,0.046,0.047550684,121.1,4.789
DES37,297.05,0.986,0.910702813,138.15,3.7
DES14,303.25,0.064,0.064391802,148.07,5.7999
DES19,303.95,0.088,0.09051971,121.1,4.789
DES6,323.15,0.098,0.077781367,115.87,1.607
DES18,298.55,0.115,0.119891957,135.86,4.3875
DES39,300.15,0.514,0.48834824,168.09,5.0786
DES27,313.25,0.236,0.218204817,218.5,5.6241
DES36,313.25,0.338,0.347905133,128.94,3.0108
DES45,317.05,0.043,0.045976591,177.72,8.4242
DES10,317.05,0.07,0.066850868,99.7,4.3641
DES34,299.35,0.0871,0.085115981,114.13,3.9275
DES11,309.35,0.044,0.045438141,144.91,2.1383
DES24,307.85,0.4068,0.403973642,145.13,5.9401
DES29,310.95,0.207,0.193970318,191.58,8.0651
DES35,305.55,0.058,0.055756554,103.72,4.329
DES30,296.25,0.424,0.411915447,183.3,9.2857
DES33,295.45,0.1227,0.121281183,127.15,3.526
DES24,299.35,0.809,0.761311506,145.13,5.9401
DES33,297.05,0.1124,0.110669009,127.15,3.526
DES8,293.05,0.366,0.368830109,103.98,2.9856
DES12,317.85,0.033,0.03331316,146.7,3.3588
DES3,305.55,0.0279,0.02703669,81.46,2.1223
DES3,318.65,0.0189,0.016471787,81.46,2.1223
DES34,321.65,0.0309,0.031544873,114.13,3.9275
DES27,297.85,0.554,0.550055458,218.5,5.6241
DES30,315.55,0.145,0.134655553,183.3,9.2857
DES22,296.25,2.195,1.993808031,179.6,4.5615
DES40,323.25,0.088,0.100636527,207.24,5.7679
DES3,295.45,0.0419,0.042683622,81.46,2.1223
DES4,308.65,0.0189,0.017678814,77.58,2.5238
DES40,314.75,0.14,0.153935673,207.24,5.7679
DES34,320.15,0.0327,0.033380026,114.13,3.9275
DES4,309.35,0.0179,0.017224183,77.58,2.5238
DES18,317.05,0.0415,0.049366433,135.86,4.3875
DES4,313.95,0.0159,0.014606078,77.58,2.5238
DES33,293.05,0.1386,0.139895486,127.15,3.526
DES37,308.65,0.409,0.387346283,138.15,3.7
DES20,294.65,0.1604,0.161006348,109.3,5.1905
DES36,317.85,0.257,0.269190331,128.94,3.0108
DES33,303.25,0.0824,0.079540952,127.15,3.526
DES17,310.15,0.069,0.077367934,159.48,3.986
DES23,313.95,0.3312,0.354058006,158.39,5.2508
DES36,303.95,0.664,0.630156994,128.94,3.0108
DES5,299.35,0.0209,0.021773718,74.48,2.9253
DES12,312.45,0.04,0.041020018,146.7,3.3588
