DES,T/K,V/cP,MCI,Avg Molar, omega
DES36,294.65,1.382,1.304989278,128.94,3.0108
DES24,315.55,0.2381,0.249224451,145.13,5.9401
DES3,317.85,0.0189,0.016933994,81.46,2.1223
DES40,311.65,0.17,0.182734782,207.24,5.7679
DES28,305.55,0.309,0.297655418,201.94,6.8446
DES24,301.65,0.6662,0.633478016,145.13,5.9401
DES3,297.05,0.0389,0.039499056,81.46,2.1223
DES39,312.45,0.212,0.217157866,168.09,5.0786
DES15,295.45,0.099,0.099085213,148.49,7.0204
DES41,322.45,0.079,0.080725134,236.27,3.542
DES30,313.95,0.157,0.145635097,183.3,9.2857
DES29,313.25,0.185,0.172043628,191.58,8.0651
DES27,308.65,0.298,0.279664487,218.5,5.6241
DES15,303.25,0.067,0.066822508,148.49,7.0204
DES36,299.35,0.96,0.885506128,128.94,3.0108
DES18,295.45,0.1425,0.143429357,135.86,4.3875
DES13,312.45,0.043,0.042678907,147.54,4.5794
DES28,310.95,0.234,0.219231742,201.94,6.8446
DES40,293.05,0.664,0.663554578,207.24,5.7679
DES38,296.25,0.877,0.829332057,149.67,4.3893
DES43,315.55,0.058,0.060056384,193.22,5.9831
DES3,308.65,0.0249,0.023835001,81.46,2.1223
DES30,300.15,0.33,0.31725708,183.3,9.2857
DES4,302.45,0.0229,0.022540113,77.58,2.5238
DES19,313.25,0.0555,0.057913335,121.1,4.789
DES23,317.85,0.2537,0.280273888,158.39,5.2508
DES6,319.35,0.114,0.092701044,115.87,1.607
DES9,293.05,0.316,0.317476502,101.61,3.6749
DES20,304.75,0.0905,0.089937969,109.3,5.1905
DES10,323.25,0.054,0.050963297,99.7,4.3641
DES14,323.25,0.03,0.028800218,148.07,5.7999
DES28,293.85,0.665,0.654573894,201.94,6.8446
DES37,309.35,0.388,0.370293701,138.15,3.7
DES6,310.05,0.173,0.149839832,115.87,1.607
DES33,300.15,0.0965,0.093388243,127.15,3.526
DES33,310.15,0.059,0.057302217,127.15,3.526
DES4,316.25,0.0149,0.013502606,77.58,2.5238
DES28,311.65,0.226,0.211171016,201.94,6.8446
DES3,294.65,0.0429,0.044406999,81.46,2.1223
DES22,313.25,0.4629,0.510317215,179.6,4.5615
DES5,297.05,0.0239,0.024010624,74.48,2.9253
DES7,296.25,0.353,0.351244228,107.78,2.2963
DES28,301.65,0.391,0.378969044,201.94,6.8446
DES3,302.45,0.0309,0.030859608,81.46,2.1223
DES35,320.95,0.0281,0.029199632,103.72,4.329
DES15,312.45,0.046,0.044649559,148.49,7.0204
DES3,314.75,0.0209,0.018906601,81.46,2.1223
DES35,293.05,0.1077,0.108103719,103.72,4.329
DES37,294.65,1.185,1.121315481,138.15,3.7
DES29,305.55,0.275,0.262389945,191.58,8.0651
DES34,297.05,0.0983,0.096476096,114.13,3.9275
DES6,310.85,0.166,0.143318794,115.87,1.607
DES5,306.25,0.0169,0.01656563,74.48,2.9253
DES23,320.95,0.2059,0.235535656,158.39,5.2508
DES5,302.45,0.0189,0.01918906,74.48,2.9253
DES4,293.05,0.0329,0.034181572,77.58,2.5238
DES38,300.85,0.6,0.573087964,149.67,4.3893
DES4,312.45,0.0169,0.015394814,77.58,2.5238
DES36,321.65,0.204,0.221157396,128.94,3.0108
DES15,309.35,0.051,0.050814849,148.49,7.0204
DES36,307.85,0.499,0.484506892,128.94,3.0108
DES14,293.05,0.109,0.108591543,148.07,5.7999
DES6,297.05,0.366,0.343746025,115.87,1.607
DES8,299.35,0.234,0.23427112,103.98,2.9856
DES9,313.95,0.089,0.088901965,101.61,3.6749
