MR,T/K,MCI,ωm,MW,Dexp
1.3,328.42,3.526,0.96,127.15,1.0455
1.5,348.122,6.6294,1.34,134.52,1.2586
1.5,333.6,5.1905,0.95,109.3,1.1914
1.2,334.4,3.986,0.9,159.48,1.2602
1.5,343.0,2.9253,0.97,74.48,1.0896
1.2,335.44,4.5615,1.21,179.6,1.2747
1.3,321.03,4.3893,1.31,149.67,1.1237
1.4,337.71,4.789,0.94,121.1,1.2055
1.4,319.18,8.0651,1.03,191.58,1.1743
1.5,315.89,6.6294,1.34,134.52,1.2794
1.2,320.38,3.3588,1.02,146.7,1.1065
1.1,341.88,1.607,1.15,115.87,1.1333
1.2,313.3,3.7,1.26,138.15,1.1257
1.2,312.56,1.7208,0.94,87.6648,1.1142
1.5,349.41,8.4242,1.07,177.72,1.0384
1.4,350.32,7.2036,1.06,184.61,1.0571
1.1,319.47,1.607,1.15,115.87,1.1459
1.5,308.29,5.7679,1.36,207.24,1.1406
1.4,351.83,3.6749,1.33,101.61,1.1712
1.5,347.49,5.1905,0.95,109.3,1.1839
1.5,308.93,2.9253,0.97,74.48,1.1098
1.5,329.56,6.6294,1.34,134.52,1.2702
1.4,350.86,3.9275,0.97,114.13,1.0244
1.1,308.49,2.1383,0.97,144.91,1.1128
1.2,321.87,3.1245,0.95,147.97,1.0497
1.4,313.88,7.2036,1.06,184.61,1.0813
1.1,336.61,1.607,1.15,115.87,1.1362
1.2,352.96,3.1245,0.95,147.97,1.016
1.5,332.51,6.6294,1.34,134.52,1.2682
1.4,309.86,5.9401,1.31,145.13,1.2858
1.3,308.55,2.1223,0.96,81.46,1.1123
1.4,341.25,8.0651,1.03,191.58,1.1624
1.5,341.88,4.3641,1.36,99.7,1.1921
1.1,352.8,3.0108,1.16,128.94,1.097
1.2,312.56,5.6241,0.98,218.5,1.1825
1.2,353.42,3.986,0.9,159.48,1.2489
1.5,332.35,9.2857,1.04,183.3,1.1655
1.5,327.81,8.4242,1.07,177.72,1.0523
1.4,336.86,5.7999,1.05,148.07,1.0981
1.4,311.56,8.0651,1.03,191.58,1.1784
1.4,338.42,7.2036,1.06,184.61,1.0651
1.4,351.09,8.0651,1.03,191.58,1.1571
1.4,316.03,5.9401,1.31,145.13,1.2818
1.1,345.98,1.607,1.15,115.87,1.1312
1.4,334.9,3.9275,0.97,114.13,1.0412
1.1,326.26,1.607,1.15,115.87,1.1419
1.2,350.38,4.7626,1.03,207.0,1.0476
1.3,332.07,4.3875,0.93,135.86,1.2291
1.2,328.54,4.7626,1.03,207.0,1.0643
1.4,333.54,4.789,0.94,121.1,1.2079
1.5,340.21,8.4242,1.07,177.72,1.0441
1.4,322.63,4.789,0.94,121.1,1.2145
1.3,315.86,4.3875,0.93,135.86,1.2385
1.2,315.42,2.2963,1.25,107.78,1.1664
1.1,311.39,1.607,1.15,115.87,1.1504
1.2,349.49,3.1245,0.95,147.97,1.02
1.3,342.18,5.2508,1.27,158.39,1.2671
1.4,345.62,5.9401,1.31,145.13,1.2627
1.3,348.21,2.1223,0.96,81.46,1.0896
1.4,332.99,8.0651,1.03,191.58,1.1669
1.3,336.61,5.9831,1.05,193.22,1.0621
1.2,327.79,3.986,0.9,159.48,1.2641
1.2,322.92,5.6241,0.98,218.5,1.1769
1.2,320.68,4.7626,1.03,207.0,1.0703
1.4,341.7,4.789,0.94,121.1,1.2031
1.1,341.34,3.0108,1.16,128.94,1.1042
1.3,324.63,6.8446,1.01,201.94,1.1734
1.4,325.84,5.0786,1.34,168.09,1.1236
1.2,345.58,3.1245,0.95,147.97,1.0243
1.5,310.49,6.6294,1.34,134.52,1.2832
1.4,317.68,8.0651,1.03,191.58,1.1751
1.5,335.44,7.0204,1.06,148.49,1.1001
1.4,312.6,5.7999,1.05,148.07,1.1131
1.5,347.68,7.0204,1.06,148.49,1.0926
1.4,314.94,3.9275,0.97,114.13,1.0627
1.1,342.02,2.1383,0.97,144.91,1.0924
1.5,323.06,4.329,0.97,103.72,1.0584
1.5,336.61,4.3641,1.36,99.7,1.1951
1.3,330.73,5.9831,1.05,193.22,1.0664
1.5,336.41,9.2857,1.04,183.3,1.1633
1.2,326.62,4.5615,1.21,179.6,1.2805
1.4,311.01,7.2036,1.06,184.61,1.083
1.3,325.56,4.5794,1.04,147.54,1.1042
1.5,352.32,8.4242,1.07,177.72,1.037
1.3,342.46,2.1223,0.96,81.46,1.0925
1.4,329.12,4.789,0.94,121.1,1.2106
1.3,345.52,2.9856,1.3,103.98,1.163
1.2,324.23,3.3588,1.02,146.7,1.1042
1.5,350.54,6.6294,1.34,134.52,1.2571
1.3,316.33,3.526,0.96,127.15,1.0586
1.1,337.6,3.542,0.99,236.27,1.0617
1.1,353.12,2.1383,0.97,144.91,1.0857
