iter	Passed	Remaining
841	1925	361
842	1927	358
843	1929	356
844	1931	354
845	1933	352
846	1935	349
847	1937	347
848	1939	345
849	1941	342
850	1943	340
851	1946	338
852	1948	335
853	1950	333
854	1952	331
855	1954	328
856	1956	326
857	1958	324
858	1960	321
859	1962	319
860	1964	317
861	1966	314
862	1969	312
863	1971	310
864	1973	307
865	1975	305
866	1977	303
867	1979	300
868	1981	298
869	1983	296
870	1985	294
871	1987	291
872	1989	289
873	1991	287
874	1993	284
875	1995	282
876	1997	280
877	1999	277
878	2001	275
879	2003	273
880	2005	270
881	2007	268
882	2010	266
883	2012	264
884	2014	261
885	2016	259
886	2017	257
887	2020	254
888	2022	252
889	2024	250
890	2026	247
891	2028	245
892	2030	243
893	2032	240
894	2034	238
895	2036	236
896	2038	234
897	2040	231
898	2042	229
899	2044	227
900	2046	224
901	2048	222
902	2050	220
903	2052	217
904	2054	215
905	2056	213
906	2058	211
907	2060	208
908	2062	206
909	2064	204
910	2066	201
911	2068	199
912	2070	197
913	2073	195
914	2075	192
915	2077	190
916	2079	188
917	2081	185
918	2083	183
919	2085	181
920	2087	179
921	2089	176
922	2091	174
923	2093	172
924	2095	169
925	2097	167
926	2099	165
927	2101	163
928	2103	160
929	2105	158
930	2107	156
931	2109	153
932	2111	151
933	2113	149
934	2115	147
935	2117	144
936	2119	142
937	2121	140
938	2123	137
939	2126	135
940	2128	133
941	2130	131
942	2132	128
943	2134	126
944	2136	124
945	2138	122
946	2140	119
947	2142	117
948	2144	115
949	2146	112
950	2149	110
951	2151	108
952	2153	106
953	2156	103
954	2159	101
955	2162	99
956	2164	97
957	2166	94
958	2169	92
959	2171	90
960	2174	88
961	2176	85
962	2179	83
963	2181	81
964	2184	79
965	2186	76
966	2188	74
967	2190	72
968	2192	70
969	2195	67
970	2198	65
971	2200	63
972	2203	61
973	2206	58
974	2209	56
975	2212	54
976	2214	52
977	2217	49
978	2220	47
979	2222	45
980	2225	43
981	2228	40
982	2230	38
983	2233	36
984	2235	34
985	2238	31
986	2241	29
987	2244	27
988	2247	24
989	2249	22
990	2252	20
991	2255	18
992	2258	15
993	2260	13
994	2263	11
995	2265	9
996	2267	6
997	2270	4
998	2273	2
999	2276	0
